Source,Target,Weight
2031640,9106565,1
62812779,44253742,2
58331146,47903333,1
10247874,24474126,1
17073481,2031640,2
27883327,26873147,1
1323072,168370,5
2375854,1460385,1
22442668,20653934,1
5806776,64340188,1
26820798,27193779,2
64340188,5474834,1
23974149,3214406,1
63417790,692528,1
1125389,8514,1
53496835,39504796,1
41829476,30892477,1
51001011,168370,1
12256376,43385504,3
599695,24657889,1
25494512,5860736,1
15062869,10270250,1
42450772,10546179,1
6838921,20653934,1
10674033,1431547,2
53824369,13124802,1
39003227,39006836,2
64224501,7963570,1
11726647,11672345,1
671825,50118546,3
42916308,14727320,1
39003227,39006903,1
41881900,43924169,3
54906742,7053637,1
38460192,51957189,1
38460192,40037231,1
1610564,24109199,1
47515815,41881900,3
16346380,60115659,1
1451352,321278,2
39178161,28796010,1
29675401,35951404,1
45873864,714074,1
9385519,53745720,1
2219738,19390712,1
33791453,23770421,4
4723248,21244924,1
34294743,5532320,1
55698731,18150451,2
46891997,29996513,1
21078071,11167738,1
16286131,47860620,1
36463352,35968578,1
17303641,108278,1
53928710,5786013,2
20484506,20171642,1
4524181,52855516,2
22660201,22993377,4
27782596,26509369,2
46041284,41881900,1
2014929,1460385,1
12888993,38982731,1
48496835,58482213,1
21233191,32509278,1
26509369,54503347,1
8139882,4335576,1
11639637,24993103,1
26142080,26142147,1
51964039,3604157,1
43263588,597879,2
31578025,1217614,1
38843429,20343475,3
5839692,24119524,2
2725544,2203645,1
19489568,13295813,1
27503425,50904245,3
18633326,3877327,2
47640370,47622864,1
52773157,20929025,1
58744816,10247874,1
14089735,2034023,1
2034023,14089735,1
40135191,41039850,1
40135191,47609714,1
22855240,15533753,1
15533753,22855240,1
51688289,19816973,12
19360616,7691631,2
63752974,65095652,3
34447499,19036577,1
59700207,10985948,1
17180970,8962829,1
3629537,52855516,1
5420581,6136261,1
10066825,31481403,2
65252,59227528,1
1385122,658518,3
65569906,49679971,1
17980776,36316259,1
42682859,34762405,1
858127,66392879,2
6246304,6228403,1
16180517,36371959,4
6307266,64340188,1
58741711,47903333,7
8854513,4723248,2
27504653,38765967,1
42875638,63616998,1
919161,30358412,2
32208598,7639232,1
23465506,1090311,1
47430181,39923176,2
31077672,20929025,2
58535706,32023078,1
61886109,5839692,1
1520275,15073130,1
13316291,15728293,1
22355214,47394776,2
46565708,52261708,1
43281905,54980593,1
6106345,5314652,3
52643796,29455960,1
20891020,20896532,1
56356706,52630616,2
11921791,15647808,1
63995402,53311716,1
43332504,23096959,1
18454064,7530570,1
5550567,5550623,1
25887611,15280279,1
6515095,10066825,1
12593977,10066825,1
11953973,10066825,1
321278,4580780,1
34138622,33653601,1
23885266,36124357,1
12106931,3638964,1
51344082,17528018,1
29891188,31404632,1
54980593,37489525,2
54921952,5710848,1
43372569,39504796,2
62099286,26820798,1
35280897,15974409,1
53745720,9385519,1
17803236,23096959,1
60421762,30608771,1
3623050,14159669,1
36960293,20580498,2
32897150,36895421,1
9482875,2203645,1
48318543,29028775,1
36732493,37128954,8
41881900,46041284,3
7804910,5532320,2
8467808,5474834,1
31790386,45679268,1
13220460,14562056,1
20929025,41881900,5
7053637,31696383,2
5746963,2484397,1
7691631,10247874,1
15073130,321278,1
18477927,25450557,1
57936731,45936895,1
2560988,3678731,1
65678789,958314,1
31492490,29675401,5
52630616,44869078,2
53448835,7653178,7
53623304,36732493,3
20343475,19483273,2
29620400,16241224,2
32935745,66377221,3
32453839,34505683,1
36895421,32897150,1
20580498,9787757,2
55929020,49453413,1
55760054,6838921,1
36891867,3678731,2
39176269,36535156,1
168370,488514,1
14125254,31288958,1
11939484,2203645,1
12256376,67763937,57
5150954,61431422,1
36535156,38934449,1
37327577,33870982,1
61739430,53356367,3
24195339,20929025,1
13220460,46805578,1
168370,2095282,1
27729907,23096959,3
66944590,15062869,1
8966356,15533753,1
3056468,321278,1
53492012,53213638,2
53213638,53214857,1
19608522,38843429,1
24250009,1784628,1
20785986,33653601,2
16563587,3698588,1
19608522,27729907,1
8715146,9325315,3
27509924,53530870,6
576201,35640229,1
60374819,39586616,1
44541556,36732493,4
1725199,23022377,2
27576132,23096959,3
45704630,44639329,1
61739430,49029588,1
24560307,53558755,7
2931111,14665922,1
54091383,3678731,1
9568894,28949681,2
67648772,5532320,1
19990415,14812631,1
11380094,37489525,1
12225546,714074,1
20580498,66509131,2
4011054,574877,1
22992936,23096959,1
31070977,2055965,2
50250915,58330635,2
20460946,9325315,1
20460946,8715146,1
44838949,44838862,17
32935745,42408804,1
49908092,747698,2
58233121,53213638,1
39504796,39822254,9
7691631,36960293,2
31670053,39487546,2
5561238,23096959,1
30269686,6838921,2
17373313,2310495,2
37128954,36732493,2
23166872,67452779,100
16256144,5875030,2
52071471,15062869,1
10826219,23096959,1
53138972,21641241,2
13633443,108278,1
48878697,31829770,1
16316451,3544424,1
16286131,18402447,12
63192522,4989164,2
16316451,19483273,3
42713185,36420691,3
21018299,6093316,2
10981994,892275,1
15493825,10642708,1
57910253,6093316,1
23933452,10045175,2
36919582,1362490,1
24195339,49767244,2
49767244,24195339,2
13345709,12892263,1
61736423,19606628,1
7639232,32654500,1
24195339,42481664,1
11778024,10041891,3
10969551,12296490,4
14326082,2716160,1
42454540,33002637,1
560495,27620277,1
42134885,64700995,1
45499928,40037231,1
53558755,24560307,1
49096617,10247874,2
8514,488514,1
42118261,9998516,1
38934449,36535156,1
34822474,5811958,1
66919586,67793333,4
67793333,6838921,2
67793333,66919586,1
5474834,3149845,1
19816973,51688289,6
46421678,7691631,1
58535706,21233191,1
21280081,62168035,1
25280332,45557469,1
45793760,42283287,4
35385455,25450557,1
25450557,35385455,1
14789533,13753636,1
50349114,16554739,1
10851820,9385519,2
34586916,9384267,2
34414315,20929025,1
51914773,45431898,1
64340188,7792553,4
60099164,9325315,1
21585053,8049897,1
42878787,10178188,3
